token,class,count
おかげ,SSI_high,0
おかげ,SSI_low,2
おかしく,SSI_high,0
おかしく,SSI_low,1
おしまい,SSI_high,1
おしまい,SSI_low,0
おっくう,SSI_high,1
おっくう,SSI_low,0
おつまみ,SSI_high,1
おつまみ,SSI_low,0
おなか,SSI_high,1
おなか,SSI_low,0
おはよう,SSI_high,0
おはよう,SSI_low,1
おば,SSI_high,1
おば,SSI_low,0
おやつ,SSI_high,0
おやつ,SSI_low,1
お世話,SSI_high,1
お世話,SSI_low,0
お土産,SSI_high,1
お土産,SSI_low,0
お好み焼き,SSI_high,1
お好み焼き,SSI_low,0
お昼,SSI_high,4
お昼,SSI_low,0
お祝い,SSI_high,3
お祝い,SSI_low,0
お花,SSI_high,1
お花,SSI_low,0
お茶の間,SSI_high,0
お茶の間,SSI_low,1
お迎え,SSI_high,1
お迎え,SSI_low,0
お酒,SSI_high,1
お酒,SSI_low,0
お願い,SSI_high,0
お願い,SSI_low,1
かい,SSI_high,0
かい,SSI_low,2
かき氷,SSI_high,1
かき氷,SSI_low,1
かけこみ,SSI_high,0
かけこみ,SSI_low,1
かん,SSI_high,0
かん,SSI_low,1
か月,SSI_high,1
か月,SSI_low,2
がち,SSI_high,0
がち,SSI_low,1
がよく,SSI_high,0
がよく,SSI_low,1
がわり,SSI_high,0
がわり,SSI_low,1
がん,SSI_high,1
がん,SSI_low,0
がんばろう,SSI_high,2
がんばろう,SSI_low,0
がんばん,SSI_high,0
がんばん,SSI_low,1
きた,SSI_high,0
きた,SSI_low,1
きっかけ,SSI_high,0
きっかけ,SSI_low,3
きつい,SSI_high,1
きつい,SSI_low,0
きょう,SSI_high,1
きょう,SSI_low,2
きょうか,SSI_high,1
きょうか,SSI_low,0
きれい,SSI_high,1
きれい,SSI_low,0
き合い,SSI_high,0
き合い,SSI_low,1
くさ,SSI_high,0
くさ,SSI_low,1
くだらない,SSI_high,1
くだらない,SSI_low,0
げんなり,SSI_high,0
げんなり,SSI_low,1
こ,SSI_high,0
こ,SSI_low,1
ここ,SSI_high,1
ここ,SSI_low,1
こちら,SSI_high,2
こちら,SSI_low,1
こっち,SSI_high,0
こっち,SSI_low,1
こども,SSI_high,1
こども,SSI_low,0
このまま,SSI_high,1
このまま,SSI_low,3
ごと,SSI_high,1
ごと,SSI_low,1
ごはん,SSI_high,1
ごはん,SSI_low,2
ご挨拶,SSI_high,1
ご挨拶,SSI_low,0
ご飯,SSI_high,3
ご飯,SSI_low,3
ご馳走,SSI_high,0
ご馳走,SSI_low,1
さ,SSI_high,1
さ,SSI_low,13
さい,SSI_high,0
さい,SSI_low,1
さかな,SSI_high,1
さかな,SSI_low,0
さく裂,SSI_high,0
さく裂,SSI_low,1
さだ,SSI_high,0
さだ,SSI_low,1
さっき,SSI_high,0
さっき,SSI_low,1
さん,SSI_high,6
さん,SSI_low,16
ざわちん,SSI_high,0
ざわちん,SSI_low,1
しそう,SSI_high,0
しそう,SSI_low,1
した,SSI_high,0
した,SSI_low,1
したこと,SSI_high,0
したこと,SSI_low,1
しな,SSI_high,0
しな,SSI_low,1
しない,SSI_high,1
しない,SSI_low,0
しながら,SSI_high,1
しながら,SSI_low,0
しょう,SSI_high,0
